"name","label","description","legal_basis"
"04.04.08","Pilot project to encourage conversion of precarious work into work with rights","<p>This appropriation is intended to support measures to encourage conversion of precarious work into work with rights.</p>","Pilot project within the meaning of Article 49(2) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1)."
"04.04.09","Support for the running costs of the Platform of European Social Non-Governmental Organisations","<p>This appropriation is intended to cover the running costs of the Platform of European Social Non-Governmental Organisations (NGOs).</p>

<p>The Social Platform shall facilitate participatory democracy in the European Union by promoting the consistent involvement of social NGOs within a structured civil dialogue with the Union institutions. It shall also provide added value to the Union social policy-making process and strengthen civil society within new Member States.</p>","Decision No 1904/2006/EC of the European Parliament and of the Council of 12 December 2006 establishing for the period 2007 to 2013 ‘Europe for Citizens‚ to promote active European Citizenship (OJ L 378, 27.12.2006, p. 32)."
"04.04.10","Pilot project - Accompanying workers during industrial change","<p>This appropriation is intended to fund initiatives which help workers to adapt to industrial change. Measures covered will include:</p>

<ul><li>
<p lang=""en"">examining how workers can be better prepared for industrial change and which industrial sectors may be concerned in the near future,</p>
</li>
<li>
<p lang=""en"">analysing and promoting exchanges on policies and best practices with a view to coping with industrial changes through a socially responsible approach.</p>
</li>
</ul>","Pilot project within the meaning of Article 49(6) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1)."
"04.04.11","Pilot project - Preventing elder abuse","<p>This appropriation is intended to fund initiatives which help uncover the extent of abuse of older people in the European Union as a follow-up to the European Parliament resolution of 21 February 2008 on the demographic future of Europe (OJ C 184 E, 6.8.2009, p. 75) and to the conference organised by the Commission on 17 March 2008 on the topic of elder abuse.</p>

<p>In particular, the pilot project will focus on:</p>

<ul><li>
<p lang=""en"">assessing the scale of elder abuse according to the WHO definition (physical, psychological and financial abuse),</p>
</li>
<li>
<p lang=""en"">gaining a better understanding of the causes of elder abuse,</p>
</li>
<li>
<p lang=""en"">measuring the effectiveness of policy responses in the Member States.</p>
</li>
</ul>
<p>To achieve this aim, measures covered will include:</p>

<ul><li>
<p lang=""en"">collecting data on the incidence of elder abuse across the European Union, including risk and protective factors,</p>
</li>
<li>
<p lang=""en"">mapping existing policy approaches and policy frameworks in the European Union in order to identify good practices and present a reference framework comprising measures and instruments needed for effective prevention of elder abuse.</p>
</li>
</ul>
<p>Best practices in policy approaches and policy frameworks will be established through an assessment of which instruments work and which are less effective in the prevention of elder abuse.</p>","Pilot project within the meaning of Article 49(6) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1)."
"04.04.12","European Year for Combating Poverty and Social Exclusion 2010","<p>The European Year for Combating Poverty and Social Exclusion is intended to reaffirm and strengthen the initial political commitment of the European Union at the start of the Lisbon Strategy to making a &#8216;decisive impact on the eradication of poverty&#8218;.</p>

<p>In accordance with Decision No 1098/2008/EC of the European Parliament and of the Council, this appropriation is intended to support the national activities that will be put in place by the Member States in line with their European Year&#8217;s national strategy and priorities. Part of the appropriation will also cover the costs related to the organisation of the closing EU Conference by the incumbent Presidency and reinforce the communication and information activities at European and national levels.</p>

<p>To the appropriations entered in this article must be added the contributions from the EFTA States pursuant to the Agreement on the European Economic Area, and in particular Article 82 thereof and Protocol 32 thereto. By way of information, these amounts derive from contributions from the EFTA States entered against Article 6 3 0 of the statement of revenue, which constitute assigned revenue in accordance with Article 18(1)(d) of the Financial Regulation; they give rise to the provision of corresponding appropriations and to implementation according to Annex &#8216;European Economic Area&#8218; to this part of the statement of expenditure of this section, which forms an integral part of the general budget.</p>

<p>Any revenue from the contributions from candidate countries and, if applicable, the western Balkan potential candidate countries for participating in EU/Community programmes, entered in Item 6 0 3 1 of the statement of revenue, may give rise to the provision of additional appropriations pursuant to Article 18(1)(d) of the Financial Regulation.</p>","Decision No 1098/2008/EC of the European Parliament and of the Council of 22 October 2008 on the European Year for Combating Poverty and Social Exclusion (2010) (OJ L 298, 7.11.2008, p. 20)."
"04.04.13","Pilot project - Employment of people on the autistic spectrum","<p>The objective of the pilot project is to fund initiatives which help develop policies for employment and social integration of people suffering from autism. The pilot project should therefore support innovative and integrated projects, addressing multiple disadvantages faced by people on the autistic spectrum, while taking account of the strengths they offer, and promoting their inclusion in the labour market and social and economic activities.</p>

<p>Measures to be financed will focus on:</p>

<ul><li>
<p lang=""en"">gaining better understanding of autism and of challenges and obstacles faced by people suffering from autism in entering the labour market,</p>
</li>
<li>
<p lang=""en"">assessing what tangible labour market measures ought to be taken in order to prevent unemployment and raise the employment levels of people suffering from autism (according to some sources, 62&#160;% of adults with autism do not have any work at all, while others show that only 6&#160;% of adults on the autistic spectrum have full-time paid employment),</p>
</li>
<li>
<p lang=""en"">identifying existing policy approaches in the Member States, and mapping the types of measures aimed at developing employment opportunities for people with autism and helping them access and sustain employment,</p>
</li>
<li>
<p lang=""en"">assessing the effectiveness of the measures undertaken,</p>
</li>
<li>
<p lang=""en"">promoting exchange of best practices.</p>
</li>
</ul>","Pilot project within the meaning of Article 49(6) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1)."
"04.05.01","European Globalisation Adjustment Fund (EGF)","<p>This appropriation is intended to cover the European Globalisation Adjustment Fund (EGF) so as to enable the Union to provide support for workers made redundant as a result of major structural changes in world trade patterns where these redundancies have a significant adverse impact on the regional or local economy.</p>

<p>The maximum amount of expenditure from the Fund shall be EUR 500&#160;000&#160;000 per year. </p>

<p>The aim of this reserve, in accordance with Point 28 of the Interinstitutional Agreement of 17 May 2006, is to provide additional support for workers who suffer from the consequences of major structural changes in world trade patterns and to assist them with their reintegration into the labour market.</p>

<p>The actions undertaken by the European Globalisation Adjustment Fund should be complementary to these of the European Social Fund.</p>

<p>The Commission is requested to report, within one year of this instrument's mobilisation, on the results obtained by its use.  </p>

<p>The methods for entering the appropriations in this reserve and for mobilising the Fund are laid down in Point 28 of the Interinstitutional Agreement of 17 May 2006 and in Article 12 of Regulation (EC) No 1927/2006.</p>","Regulation (EC) No 1927/2006 of the European Parliament and of the Council of 20 December 2006 on establishing the European Globalisation Adjustment Fund (OJ L 406, 30.12.2006, p. 1).


Reference acts


Interinstitutional Agreement of 17 May 2006 between the European Parliament, the Council and the Commission on budgetary discipline and sound financial management (OJ C 139, 14.6.2006, p. 1)."
"04.06.01","Instrument for Pre-Accession Assistance (IPA) - Human resources development","<p>This appropriation is intended to cover Union assistance to the candidate countries covered by IPA in progressive alignment with the standards and policies of the European Union, including where appropriate the <em>acquis communautaire</em>, with a view to membership. The Human Resources Development Component shall support countries in policy development as well as preparation for the implementation and management of the Union&#8217;s cohesion policy, in particular in their preparation for the European Social Fund.</p>","Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA) (OJ L 210, 31.7.2006, p. 82)."
"05.01.01","Expenditure related to staff in active employment of ‘Agriculture and rural development‚ policy area","",""
"05.01.02","External staff and other management expenditure in support of ‘Agriculture and rural development‚ policy area","",""
"05.01.03","Expenditure related to equipment, furniture and services of ‘Agriculture and rural development‚ policy area","",""
"05.01.04","Support expenditure for operations of ‘Agriculture and rural development‚ policy area","","Council Regulation (EC) No 1257/1999 of 17 May 1999 on support for rural development from the European Agricultural Guidance and Guarantee Fund (EAGGF) and amending and repealing certain Regulations (OJ L 160, 26.6.1999, p. 80).


Council Regulation (EC) No 1260/1999 of 21 June 1999 laying down general provisions on the Structural Funds (OJ L 161, 26.6.1999, p. 1).


Council Regulation (EC) No 1268/1999 of 21 June 1999 on Community support for pre-accession measures for agriculture and rural development in the applicant countries of central and eastern Europe in the pre-accession period (OJ L 161, 26.6.1999, p. 87).


Council Regulation (EC) No 870/2004 of 26 April 2004 establishing a Community programme on the conservation, characterisation, collection and utilisation of genetic resources in agriculture and repealing Regulation (EC) No 1467/94 (OJ L 162, 30.4.2004, p. 18).


Council Regulation (EC) No 1698/2005 of 20 September 2005 on support for rural development by the European Agricultural Fund for Rural Development (EAFRD) (OJ L 277, 21.10.2005, p. 1).


Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA), (OJ L 210, 31.7.2006, p. 82).


Council Regulation (EC) No 1183/2006 of 24 July 2006 concerning the Community scale for the classification of carcasses of adult bovine animals (OJ L 214, 4.8.2006, p. 1)."
"05.01.06","Expenditure on agricultural analysis, inspection, communication and the Conciliation Body in connection with the clearance of accounts of the EAGGF Guarantee Section, the EAGF and the EAFRD","<p>This appropriation is intended to cover the financing of the Conciliation Body within the framework of EAGGF Guarantee Section and of EAGF clearance of accounts (fees, equipment, travel and meetings) and studies and other expenditure on communication and support for controls, such as assistance by audit firms.</p>","Commission Regulation (EC) No 885/2006 of 21 June 2006 laying down detailed rules for the application of Council Regulation (EC) No 1290/2005 as regards the accreditation of paying agencies and other bodies and the clearance of the accounts of the EAGF and of the EAFRD (OJ L 171, 23.6.2006, p. 90).


Council Regulation (EC) No 485/2008 of 26 May 2008 on scrutiny by Member States of transactions forming part of the system of financing by the European Agricultural Guarantee Fund (OJ L 143, 3.6.2008, p. 1)."
"05.02.01","Cereals","",""
"05.02.02","Rice","<a name=""N50452281450-287""></a>",""
"05.02.03","Refunds on non-Annex 1 products","<p>This appropriation is intended to cover refunds on cereals exported in the form of certain spirits drinks, in accordance with Articles 13 to 18 of Regulation (EC) No 1784/2003 and Article 162 of Regulation (EC) No 1234/2007, as well as refunds on goods resulting from the processing of cereals and rice, sugar and isoglucose, skimmed milk, butter, eggs, in accordance with Regulation (EC) No 3448/93.</p>","Council Regulation (EC) No 3448/93 of 6 December 1993 laying down the trade arrangements applicable to certain goods resulting from the processing of agricultural products (OJ L 318, 20.12.1993, p. 18).


Council Regulation (EC) No 1784/2003 of 29 September 2003 on the common organisation of the market in cereals (OJ L 270, 21.10.2003, p. 78)."
"05.02.04","Food programmes","","Council Regulation (EEC) No 3730/87 of 10 December 1987 laying down the general rules for the supply of food from intervention stocks to designated organisations for distribution to the most deprived persons in the Community (OJ L 352, 15.12.1987, p. 1)."
"05.02.05","Sugar","",""
"05.02.06","Olive oil","","Regulation No 136/66/EEC of the Council of 22 September 1966 on the establishment of a common organisation of the market in oils and fats (OJ 172, 30.9.1966, p. 3025/66).


Council Regulation (EC) No 865/2004 of 29 April 2004 on the common organisation of the market in olive oil and table olives and amending Regulation (EEC) No 827/68 (OJ L 161, 30.4.2004, p. 97)."
"05.02.07","Textile plants","<a name=""N50452282109-337""></a>",""
"05.02.08","Fruits and vegetables","","Council Regulation (EC) No 2200/96 of 28 October 1996 on the common organisation of the market in fruit and vegetables (OJ L 297, 21.11.1996, p. 1).


Council Regulation (EC) No 2201/96 of 28 October 1996 on the common organisation of the market in processed fruit and vegetable products (OJ L 297, 21.11.1996, p. 29).


Council Regulation (EC) No 2202/96 of 28 October 1996 introducing a Community aid scheme for producers of certain citrus fruits (OJ L 297, 21.11.1996, p. 49).


Council Regulation (EC) No 1182/2007 of 26 September 2007 laying down specific rules as regards the fruit and vegetable sector, amending Directives 2001/112/EC and 2001/113/EC and Regulations (EEC) No 827/68, (EC) No 2200/96, (EC) No 2201/96, (EC) No 2826/2000, (EC) No 1782/2003 and (EC) No 318/2006 and repealing Regulation (EC) No 2202/96 (OJ L 273, 17.10.2007, p. 1)."
"05.02.09","Products of the wine-growing sector","","Council Regulation (EEC) No 822/87 of 16 March 1987 on the common organization of the market in wine (OJ L 84, 27.3.1987, p. 1).


Council Regulation (EC) No 1493/1999 of 17 May 1999 on the common organisation of the market in wine (OJ L 179, 14.7.1999, p. 1).


Council Regulation (EC) No 479/2008, of 29 April 2008 on the common organisation of the market in wine, amending Regulations (EC) No 1493/1999, (EC) No 1782/2003, (EC) No 1290/2005, (EC) No 3/2008 and repealing Regulations (EEC) No 2392/86 and (EC) No 1493/1999 (OJ L 148, 6.6.2008, p. 1)."
"05.02.10","Promotion","","Council Regulation (EC) No 2702/1999 of 14 December 1999 on measures to provide information on, and to promote, agricultural products in third countries (OJ L 327, 21.12.1999, p. 7).


Council Regulation (EC) No 2826/2000 of 19 December 2000 on information and promotion actions for agricultural products on the internal market (OJ L 328, 23.12.2000, p. 2).


Council Regulation (EC) No 3/2008 of 17 December 2007 on information provision and promotion measures for agricultural products on the internal market and in third countries (OJ L 3, 5.1.2008, p. 1)."
"05.02.11","Other plant products/measures","<a name=""N50452282368-393""></a>",""
"05.02.12","Milk and milk products","",""
"05.02.13","Beef and veal","",""
"05.02.14","Sheepmeat and goatmeat","<a name=""N50452384182-467""></a>",""
"05.02.15","Pigmeat, eggs and poultry, bee-keeping and other animal products","<a name=""N50452384431-483""></a>",""
"05.02.16","Sugar Restructuring Fund","","Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1).


Council Regulation (EC) No 320/2006 of 20 February 2006 establishing a temporary scheme for the restructuring of the sugar industry in the Community and amending Regulation (EC) No 1290/2005 on the financing of the common agricultural policy (OJ L 58, 28.2.2006, p. 42)."
"05.02.17","Support for farmers","<a name=""N93521762629-6""></a>",""
"05.03.01","Decoupled direct aids","",""
"05.03.02","Other direct aids","","Council Regulation (EEC) No 1696/71 of 26 July 1971 on the common organisation of the market in hops (OJ L 175, 4.8.1971, p. 1).


Council Regulation (EEC) No 2358/71 of 26 October 1971 on the common organisation of the market in seeds (OJ L 246, 5.11.1971, p. 1).


Council Regulation (EEC) No 154/75 of 21 January 1975 on the establishment of a register of olive cultivation in the Member States producing olive oil (OJ L 19, 24.1.1975, p. 1).


Council Regulation (EEC) No 2076/92 of 30 June 1992 fixing the premiums for leaf tobacco by group of tobacco varieties and the processing quotas allocated by group of varieties and by Member State (OJ L 215, 30.7.1992, p. 77).


Council Regulation (EEC) No 404/93 of 13 February 1993 on the common organisation of the market in bananas (OJ L 47, 25.2.1993, p. 1).


Council Regulation (EC) No 1868/94 of 27 July 1994 establishing a quota system in relation to the production of potato starch (OJ L 197, 30.7.1994, p. 4).


Council Regulation (EC) No 3072/95 of 22 December 1995 on the common organisation of the market in rice (OJ L 329, 30.12.1995, p. 18).


Council Regulation (EC) No 1577/96 of 30 July 1996 introducing a specific measure in respect of certain grain legumes (OJ L 206, 16.8.1996, p. 4).


Council Regulation (EC) No 2201/96 of 28 October 1996 on the common organisation of the markets in processed fruit and vegetable products (OJ L 297, 21.11.1996, p. 29).


Council Regulation (EC) No 1251/1999 of 17 May 1999 establishing a support system for producers of certain arable crops (OJ L 160, 26.6.1999, p. 1).


Council Regulation (EC) No 1254/1999 of 17 May 1999 on the common organisation of the market in beef and veal (OJ L 160, 26.6.1999, p. 21).


Council Regulation (EC) No 1255/1999 of 17 May 1999 on the common organisation of the market in milk and milk products (OJ L 160, 26.6.1999, p. 48).


Council Regulation (EC) No 2529/2001 of 19 December 2001 on the common organisation of the market in sheepmeat and goatmeat (OJ L 341, 22.12.2001, p. 3).


Council Regulation (EC) No 546/2002 of 25 March 2002 fixing the premiums and guarantee thresholds for leaf tobacco by variety group and Member State for the 2002, 2003 and 2004 harvests and amending Regulation (EEC) No 2075/92 (OJ L 84, 28.3.2002, p. 4).


Council Regulation (EC) No 1786/2003 of 29 September 2003 on the common organisation of the market in dried fodder (OJ L 270, 21.10.2003, p. 114).


Council Regulation (EC) No 2323/2003 of 17 December 2003 setting aid rates in the seeds sector for the 2004/05 marketing year (OJ L 345, 31.12.2003, p. 21).


Council Regulation (EC) No 247/2006 of 30 January 2006 laying down specific measures for agriculture in the outermost regions of the Union (OJ L 42, 14.2.2006, p. 1).


Council Regulation (EC) No 1405/2006 of 18 September 2006 laying down specific measures for agriculture in favour of the smaller Aegean islands and amending Regulation (EC) No 1782/2003 (OJ L 265, 26.9.2006, p. 1).


Council Regulation (EC) No 1544/2006 of 5 October 2006 laying down special measures to encourage silkworm rearing (codified version) (OJ L 286, 17.10.2006, p. 1)."
"05.03.03","Additional amounts of aid","<p>This appropriation is intended to cover the outstanding payments in accordance with Article 12 of Council Regulation (EC) No 1782/2003.</p>",""
"05.04.01","Rural development financed by the EAGGF Guarantee Section - Programming period 2000 to 2006","<p>In accordance with Articles 18 and 154 of the Financial Regulation, revenue received on Article 6 7 0 of the general statement of revenue will allow the provision of additional appropriations on any item in this article.</p>","Council Regulation (EC) No 1257/1999 of 17 May 1999 on support for rural development from the European Agricultural Guidance and Guarantee Fund (EAGGF) and amending and repealing certain Regulations (OJ L 160, 26.6.1999, p. 80).


Council Regulation (EC) No 1260/1999 of 21 June 1999 laying down general provisions on the Structural Funds (OJ L 161, 26.6.1999, p. 1).


Council Regulation (EC) No 1268/1999 of 21 June 1999 on Community support for pre-accession measures for agriculture and rural development in the applicant countries of central and eastern Europe in the pre-accession period (OJ L 161, 26.6.1999, p. 87).


Council Regulation (EC) No 1290/2005 of 21 June 2005 on the financing of the common agricultural policy (OJ L 209, 11.8.2005, p. 1), and in particular Article 39 thereof."
"05.04.02","Rural development financed by the EAGGF Guidance Section - Completion of earlier programmes","<p>Article 39 of Regulation (EC) No 1260/1999 provides for financial corrections, any revenue from which is entered in Item&#160;6&#160;5&#160;0&#160;0 of the statement of revenue. That revenue may give rise to the provision of additional appropriations, in accordance with Article 18 of the Financial Regulation, in specific instances where they are necessary to cover risks of cancellation or of reductions in corrections previously decided upon.</p>","Treaty establishing the European Community, and in particular Articles 158, 159 and 161 thereof.


Council Regulation (EC) No 1260/1999 of 21 June 1999 laying down general provisions on the Structural Funds (OJ L 161, 26.6.1999, p. 1).


Council Regulation (EC) No 1290/2005 of 21 June 2005 on the financing of the common agricultural policy (OJ L 209, 11.8.2005, p. 1), and in particular Article 39 thereof.


Reference acts


Conclusions of the Berlin European Council of 24 and 25 March 1999."
"05.04.03","Other measures","",""
"05.04.04","Transitional instrument for the financing of rural development by the EAGGF Guarantee Section for the new Member States - Completion of programmes (2004 to 2006)","<p>The appropriations entered are intended to pay commitments of the 2004 to 2006 programming period.</p>","Council Regulation (EC) No 1257/1999 of 17 May 1999 on support for rural development from the European Agricultural Guidance and Guarantee Fund (EAGGF) and amending and repealing certain Regulations (OJ L 160, 26.6.1999, p. 80).


2003 Act of Accession of the Czech Republic, the Republic of Estonia, the Republic of Cyprus, the Republic of Latvia, the Republic of Lithuania, the Republic of Hungary, the Republic of Malta, the Republic of Poland, the Republic of Slovenia and the Slovak Republic, and in particular Annex II thereto: ‘List referred to in Article 20 of the Act of Accession’, point 6A(26), as adapted by Council Decision 2004/281/EC (OJ L 93, 30.3.2004, p. 1).


Council Regulation (EC) No 1290/2005 of 21 June 2005 on the financing of the common agricultural policy (OJ L 209, 11.8.2005, p. 1), and in particular Article 39 thereof."
"05.04.05","Rural development financed by the European Agricultural Fund for Rural Development (EAFRD) (2007 to 2013)","<p>In accordance with Article 18 of the Financial Regulation, revenue received on Article 6 7 1 of the general statement of revenue will allow the provision of additional appropriations on any line in this article.</p>","Council Regulation (EC) No 1290/2005 of 21 June 2005 on the financing of the common agricultural policy (OJ L 209, 11.8.2005, p. 1).


Council Regulation (EC) No 1698/2005 of 20 September 2005 on support for rural development by the European Agricultural Fund for Rural Development (EAFRD) (OJ L 277, 21.10.2005, p. 1).


Council Regulation (EC) No 378/2007 of 27 March 2007 laying down rules for voluntary modulation of direct payments provided for in Regulation (EC) No 1782/2003 and amending Regulation (EC) No 1290/2005 (OJ L 95, 5.4.2007, p. 1).


Council Regulation (EC) No 73/2009 of 19 January 2009 establishing common rules for direct support schemes for farmers under the common agricultural policy and establishing certain support schemes for farmers, amending Regulations (EC) No 1290/2005, (EC) No 247/2006, (EC) No 378/2007 and repealing Regulation (EC) No 1782/2003 (OJ L 30, 31.1.2009, p. 16)."
"05.05.01","Special Accession Programme for Agriculture and Rural Development (Sapard) - Completion of earlier measures","","Council Regulation (EC) No 1268/1999 of 21 June 1999 on Community support for pre-accession measures for agriculture and rural development in the applicant countries of central and eastern Europe in the pre-accession period (OJ L 161, 26.6.1999, p. 87).


Council Regulation (EC) No 2257/2004 of 20 December 2004 amending Regulations (EEC) No 3906/89, (EC) No 1267/1999, (EC) No 1268/1999 and (EC) No 2666/2000, to take into account Croatia’s candidate status (OJ L 389, 30.12.2004, p. 1).


Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA), (OJ L 210, 31.7.2006, p. 82)."
"05.05.02","Instrument for Pre-accession Assistance for Rural Development (IPARD)","<p>This appropriation is intended to cover the Community/EU assistance to the candidate countries covered by the IPA in progressive alignment with the standards and policies of the European Union, including where appropriate the <em>acquis communautaire</em>, with a view to membership. The rural development component shall support countries in their preparations for the implementation and management of the common agricultural policy, alignment to EU structures and post-accession EU-funded rural development programmes.</p>","Council Regulation (EC) No 1085/2006 of 17 July 2006 establishing an Instrument for Pre-Accession Assistance (IPA), (OJ L 210, 31.7.2006, p. 82)"
"05.06.01","International agricultural agreements","<p>This appropriation is intended to cover the Community's/EU's contribution to the international agreements mentioned below.</p>","Council Decision 92/580/EEC of 13 November 1992 on the signing and conclusion of the International Sugar Agreement 1992 (OJ L 379, 23.12.1992, p. 15).


Council Decision 96/88/ΕC of 19 December 1995 concerning the approval by the European Community of the Grains Trade Convention and the Food Aid Convention, constituting the International Grains Agreement 1995 (OJ L 21, 27.1.1996, p. 47).


Council Decision 2000/421/EC of 13 June 2000 on the conclusion, on behalf of the European Community, of the Food Aid Convention 1999 (OJ L 163, 4.7.2000, p. 37).


Council Decision 2005/800/EC of 14 November 2005 concerning the conclusion of the International Agreement on olive oil and table olives 2005 (OJ L 302, 19.11.2005, p. 47)."
"05.07.01","Control of agricultural expenditure","",""
"05.07.02","Settlement of disputes","<p>This article is intended to accommodate, if necessary, an appropriation to cover expenditure (positive or negative) for which the Commission may be made responsible by a decision of a court of justice, including the cost of settling claims for damages and interest.</p>

<p>It is also intended to cover any expenditure that the European Commission may incur pursuant to Article 7(2) of Council Regulation (EEC) No 595/91 of 4 March 1991 concerning irregularities and the recovery of sums wrongly paid in connection with the financing of the common agricultural policy and the organisation of an information system in this field (OJ L 67, 14.3.1991, p.&#160;11).</p>",""
"05.08.01","Farm Accountancy Data Network (FADN)","<p>This appropriation is intended to cover the financing of the standard fees and the development of facilities for the collection, processing, analysis, publication and dissemination of farm accountancy data and analysis of results.</p>","Regulation No 79/65/EEC of the Council of 15 June 1965 setting up a network for the collection of accountancy data on the incomes and business operation of agricultural holdings in the European Economic Community (OJ 109, 23.6.1965, p. 1859/65)."
"05.08.02","Surveys on the structure of agricultural holdings","<p>This appropriation is intended to cover contributions to financing statistical surveys needed to monitor structures in the European Union, including the Eurofarm database.</p>","Council Regulation (EEC) No 571/88 of 29 February 1988 on the organization of Community surveys on the structure of agricultural holdings (OJ L 56, 2.3.1988, p. 1).


Regulation (EC) No 1166/2008 of the European Parliament and of the Council of 19 November 2008 on farm structure surveys and the survey on agricultural production methods and repealing Council Regulation (EEC) No 571/88 (OJ L 321, 1.12.2008, p. 14)."
"05.08.03","Restructuring of systems for agricultural surveys","<p>This appropriation is intended to cover:</p>

<ul><li>
<p lang=""en"">expenditure on the improvement of systems of agricultural statistics in the European Union,</p>
</li>
<li>
<p lang=""en"">subsidies, contractual expenditure and expenditure involving payments for services connected with the purchasing and the consulting of databases,</p>
</li>
<li>
<p lang=""en"">subsidies, contractual expenditure and expenditure involving payments for services connected with agricultural sector modelling and short- and medium-term forecasts of market and agricultural structure trends, and with the dissemination of results,</p>
</li>
<li>
<p lang=""en"">subsidies, contractual expenditure and expenditure involving payments for services connected with the implementation of operations for applying remote sensing, area sampling and agrometeorological models to agricultural statistics,</p>
</li>
<li>
<p lang=""en"">subsidies, contractual expenditure and expenditure involving payments for services connected with the carrying out of economic analysis and development of indicators in the field of agriculture policy.</p>
</li>
</ul>","Tasks arising from the prerogatives of the Commission at the institutional level, under the terms of Article 49(6) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1).


Council Decision 96/411/EC of 25 June 1996 on improving Community agricultural statistics (OJ L 162, 1.7.1996, p. 14).


Decision No 1445/2000/EC of the European Parliament and of the Council of 22 May 2000 on the application of aerial-survey and remote-sensing techniques to the agricultural statistics for 1999 to 2003 (OJ L 163, 4.7.2000, p. 1).


Council Regulation (EC) No 78/2008 of 21 January 2008 on the measures to be undertaken by the Commission in 2008-2013 making use of the remote-sensing applications developed within the framework of the common agricultural policy (OJ L 25, 30.1.2008, p. 1)."
"05.08.06","Enhancing public awareness of the common agricultural policy","<p>This appropriation is intended to cover the financing of these measures by the Community/Union, as provided for in Article&#160;1 of Regulation (EC) No&#160;814/2000.</p>

<p>The measures may take the form of:</p>

<ul><li>
<p>annual work programmes submitted, in particular, by farmers' or rural development organisations, consumers' associations and environmental protection associations,</p>
</li>
<li>
<p lang=""en"">specific measures submitted, in particular, by the public authorities of the Member States, the media and universities,</p>
</li>
<li>
<p>activities implemented at the Commission's initiative,</p>
</li>
<li>
<p lang=""en"">activities for the promotion of family farming.</p>
</li>
</ul>","Council Regulation (EC) No 814/2000 of 17 April 2000 on information measures relating to the common agricultural policy (OJ L 100, 20.4.2000, p. 7)."
"05.08.09","European Agricultural Guarantee Fund (EAGF) - Operational technical assistance","<p>This appropriation is intended to cover the expenditure in conformity with Article 5(a) to (d) of Regulation (EC) No 1290/2005. </p>

<p>This includes the financing of the establishment of a Community/EU control system, based on DNA analysis at EU borders as provided by the following international agreements:</p>

<ul><li>
<p lang=""en"">Council Decision 2004/617/EC of 11 August 2004 on the conclusion of an Agreement in the form of an Exchange of Letters between the European Community and India pursuant to Article XXVIII of the GATT 1994 relating to the modification of concessions with respect to rice provided for in EC Schedule CXL annexed to the GATT 1994 (OJ L 279, 28.8.2004, p. 17),</p>
</li>
<li>
<p lang=""en"">Council Decision 2004/618/EC of 11 August 2004 on the conclusion of an Agreement in the form of an Exchange of Letters between the European Community and Pakistan pursuant to Article XXVIII of the GATT 1994 relating to the modification of concessions with respect to rice provided for in EC Schedule CXL annexed to the GATT 1994 (OJ L 279, 28.8.2004, p. 23).</p>
</li>
</ul>
<p>Council Regulation (EC) No 1234/2007 (single CMO Regulation) provides at Article 138 that only Basmati rice which belongs to the varieties specified in the aforementioned Agreements may be imported at zero import duty.</p>

<a name=""TRA8591090""></a>",""
"05.08.10","Pilot project - Assessing end-user costs of compliance with EU legislation in the fields of environment, animal welfare and food safety","<p>This appropriation is intended to set up a pilot project for assessing the actual costs to farmers of complying with EU legislation in the fields of the environment, animal welfare and food safety which goes beyond the standards to which import products are subject. This legislation concerns<em> inter alia</em> the 18 regulations and directives underpinning the cross-compliance system, as well as the standards defined as Good Agricultural and Environmental Condition (GAEC) which is also part of the cross-compliance requirements.</p>

<p>It will be used to conduct a broad study assessing the compliance costs as described above in all Member States, which might differ between Member States and even between regions within Member States because of differing climatic, geological, production, economic and social features. The study should be conducted by a well established scientific institute or a consortium of such institutes.</p>","Pilot project within the meaning of Article 49(6) of Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 on the Financial Regulation applicable to the general budget of the European Communities (OJ L 248, 16.9.2002, p. 1)."
"06.01.01","Expenditure related to staff in active employment of ‘Energy and transport‚ policy area","",""
"06.01.02","External staff and other management expenditure in support of ‘Energy and transport‚ policy area","",""
"06.01.03","Expenditure related to equipment, furniture and services of ‘Energy and transport‚ policy area","",""
"06.01.04","Support expenditure for operations of ‘Energy and transport‚ policy area","",""
"06.01.05","Support expenditure for research activities of ‘Energy and transport‚ policy area","",""
